Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Asante Rogue Valley Med Ctr,181,2109,2109,2492,303,1822,1889,2351,220,0.116
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Asante Three Rivers Med Ctr,45,1962,1962,2357,81,1889,2323,2464,-361,-0.155
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Columbia Mem Hosp,200,2481,2535,2575,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Good Samaritan Regional Med Ctr,570,1361,1402,1495,254,1321,1363,1378,39,0.029
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Legacy Good Samaritan Med Ctr,343,1810,2019,2044,226,1758,1787,1977,232,0.13
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Legacy Mount Hood Med Ctr,213,1604,1646,2175,58,1530,1530,1758,116,0.076
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Mid-Columbia Med Ctr,103,2975,3510,3705,226,3172,3348,3463,162,0.048
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,OHSU Hosp,974,1466,1587,1887,1427,1431,1665,1886,-78,-0.047
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Providence Medford Med Ctr,306,1776,2037,2197,285,1589,1737,2049,300,0.173
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Providence Portland Med Ctr,846,1212,1968,2488,1212,1621,2271,2392,-303,-0.133
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Providence St Vincent Med Ctr,942,1520,1955,2362,1417,1574,1880,2392,75,0.04
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Salem Health Salem Hosp,454,573,1391,1827,798,547,547,1673,844,1.543
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Sky Lakes Med Ctr,59,1862,2093,2105,58,1726,1918,1962,175,0.091
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,St Charles Med Ctr-Bend,870,1556,1560,1870,825,1417,1773,1796,-213,-0.12
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Tuality Comm Hosp,84,115,1206,1537,139,1447,1447,1968,-241,-0.167
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Willamette Valley Med Ctr,143,1269,1552,1552,191,1456,1456,4251,96,0.066
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,1,Statewide,2132,145,450,846,2337,130,423,788,27,0.064
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Adventist Med Ctr,25,242,399,624,23,223,323,737,76,0.235
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Asante Rogue Valley Med Ctr,85,243,528,920,68,433,433,800,95,0.219
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Asante Three Rivers Med Ctr,47,471,636,962,96,437,636,839,0,0
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Columbia Mem Hosp,46,126,132,968,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Good Samaritan Regional Med Ctr,118,425,531,855,157,411,446,823,85,0.191
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Legacy Good Samaritan Med Ctr,251,149,489,816,192,145,420,788,69,0.164
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Legacy Mount Hood Med Ctr,51,126,385,815,57,48,145,788,240,1.655
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Mid-Columbia Med Ctr,36,439,1127,2695,47,274,873,1618,254,0.291
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,OHSU Hosp,262,122,570,978,264,125,799,952,-229,-0.287
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Providence Medford Med Ctr,74,204,455,1234,147,195,195,658,260,1.333
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Providence Portland Med Ctr,260,21,450,808,352,20,421,772,29,0.069
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Providence St Vincent Med Ctr,375,21,441,808,393,20,421,669,20,0.048
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Salem Health Salem Hosp,193,138,334,354,145,130,345,398,-11,-0.032
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Sky Lakes Med Ctr,52,224,812,1421,16,790,1133,1495,-321,-0.283
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,St Charles Med Ctr-Bend,183,127,419,1017,271,35,356,829,63,0.177
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Tuality Comm Hosp,27,410,507,887,63,322,507,896,0,0
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Willamette Valley Med Ctr,47,372,785,960,40,346,891,917,-106,-0.119
Outpatient Surgical Procedures,Abdominal drainage,1,Statewide,603,1176,1449,1993,529,1054,1518,2044,-69,-0.045
Outpatient Surgical Procedures,Abdominal drainage,0,Asante Rogue Valley Med Ctr,38,1703,1868,2230,15,1745,2116,2724,-248,-0.117
Outpatient Surgical Procedures,Abdominal drainage,0,Good Samaritan Regional Med Ctr,11,748,748,1253,12,712,748,959,0,0
Outpatient Surgical Procedures,Abdominal drainage,0,Kaiser Sunnyside Med Ctr,62,1242,1256,1514,22,883,1311,2534,-55,-0.042
Outpatient Surgical Procedures,Abdominal drainage,0,Kaiser Westside Med Ctr,22,1256,1832,2187,51,1256,2433,2644,-601,-0.247
Outpatient Surgical Procedures,Abdominal drainage,0,Legacy Good Samaritan Med Ctr,12,844,1301,1399,,,,,,
Outpatient Surgical Procedures,Abdominal drainage,0,Mercy Med Ctr,10,1703,2023,2023,14,1917,1917,2226,106,0.055
Outpatient Surgical Procedures,Abdominal drainage,0,OHSU Hosp,32,1196,1842,2422,27,1174,1427,2023,415,0.291
Outpatient Surgical Procedures,Abdominal drainage,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,29,1449,1675,1863,47,1433,1465,1615,210,0.143
Outpatient Surgical Procedures,Abdominal drainage,0,Providence Medford Med Ctr,20,881,1361,1383,11,856,893,1568,468,0.524
Outpatient Surgical Procedures,Abdominal drainage,0,Providence Newberg Med Ctr,13,2616,2616,2616,,,,,,
Outpatient Surgical Procedures,Abdominal drainage,0,Providence Portland Med Ctr,32,1574,1681,1965,21,1636,1907,2507,-226,-0.119
Outpatient Surgical Procedures,Abdominal drainage,0,Providence St Vincent Med Ctr,70,1870,2202,2563,82,1697,1997,2565,205,0.103
Outpatient Surgical Procedures,Abdominal drainage,0,Salem Health Salem Hosp,21,1076,1121,1124,29,1053,1054,1077,67,0.064
Outpatient Surgical Procedures,Abdominal drainage,0,Samaritan Albany Gen Hosp,36,725,725,725,18,748,748,748,-23,-0.031
Outpatient Surgical Procedures,Abdominal drainage,0,Samaritan Lebanon Comm Hosp,11,748,748,748,,,,,,
Outpatient Surgical Procedures,Abdominal drainage,0,St Charles Med Ctr-Bend,56,574,1279,1344,26,1292,1511,1518,-232,-0.154
Outpatient Surgical Procedures,Abdominal drainage,0,St Charles Med Ctr-Madras,23,1116,1176,1898,,,,,,
Outpatient Surgical Procedures,Abdominal drainage,0,St Charles Med Ctr-Redmond,57,1279,1279,1449,34,947,1060,1094,219,0.207
Outpatient Surgical Procedures,Appendectomy,1,Statewide,297,9408,12099,14618,310,8481,11601,14631,498,0.043
Outpatient Surgical Procedures,Appendectomy,0,Kaiser Sunnyside Med Ctr,34,9124,10229,12449,44,8040,9430,11671,799,0.085
Outpatient Surgical Procedures,Appendectomy,0,Kaiser Westside Med Ctr,44,9509,10423,12414,27,9545,10911,12178,-488,-0.045
Outpatient Surgical Procedures,Appendectomy,0,Legacy Emanuel Med Ctr,12,8246,13188,14201,,,,,,
Outpatient Surgical Procedures,Appendectomy,0,Legacy Meridian Park Med Ctr,14,11983,14863,16344,,,,,,
Outpatient Surgical Procedures,Appendectomy,0,OHSU Hosp,11,10197,12766,13388,,,,,,
Outpatient Surgical Procedures,Appendectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,38,12034,15421,16754,38,12534,15874,15874,-453,-0.029
Outpatient Surgical Procedures,Appendectomy,0,Providence Portland Med Ctr,11,7370,11336,15216,12,8546,10814,13539,522,0.048
Outpatient Surgical Procedures,Appendectomy,0,Providence St Vincent Med Ctr,21,5809,9669,13030,27,9510,11776,13944,-2107,-0.179
Outpatient Surgical Procedures,Appendectomy,0,Salem Health Salem Hosp,22,4924,4930,14399,30,4645,4645,11535,285,0.061
Outpatient Surgical Procedures,Appendectomy,0,St Charles Med Ctr-Bend,18,8910,11217,13929,16,7424,9525,11507,1692,0.178
Outpatient Surgical Procedures,Arthrocentesis,1,Statewide,1121,579,718,1427,1231,578,735,1110,-17,-0.023
Outpatient Surgical Procedures,Arthrocentesis,0,Adventist Med Ctr,19,472,1194,1837,20,439,514,897,680,1.323
Outpatient Surgical Procedures,Arthrocentesis,0,Adventist Tillamook Reg Med Ctr,14,313,316,415,11,275,461,620,-145,-0.315
Outpatient Surgical Procedures,Arthrocentesis,0,Asante Rogue Valley Med Ctr,25,751,967,1004,24,851,875,1056,92,0.105
Outpatient Surgical Procedures,Arthrocentesis,0,Asante Three Rivers Med Ctr,28,827,927,1097,27,844,883,978,44,0.05
Outpatient Surgical Procedures,Arthrocentesis,0,Kaiser Sunnyside Med Ctr,161,579,625,2302,173,591,592,737,33,0.056
Outpatient Surgical Procedures,Arthrocentesis,0,Kaiser Westside Med Ctr,237,582,626,1162,289,594,736,1145,-110,-0.149
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Emanuel Med Ctr,37,3420,4852,5297,65,1072,3598,4791,1254,0.349
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Good Samaritan Med Ctr,80,555,809,1815,51,502,869,1703,-60,-0.069
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Meridian Park Med Ctr,33,680,1482,2234,25,715,1685,1703,-203,-0.12
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Mount Hood Med Ctr,28,746,1797,2714,31,432,715,1809,1082,1.513
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Silverton Med Ctr,47,242,411,495,56,242,365,501,46,0.126
Outpatient Surgical Procedures,Arthrocentesis,0,Mercy Med Ctr,10,1303,2461,3848,20,633,1034,2418,1427,1.38
Outpatient Surgical Procedures,Arthrocentesis,0,OHSU Hosp,54,572,717,743,49,589,675,772,42,0.062
Outpatient Surgical Procedures,Arthrocentesis,0,Providence Milwaukie Hosp,26,602,792,1912,22,496,1202,2157,-410,-0.341
Outpatient Surgical Procedures,Arthrocentesis,0,Providence Portland Med Ctr,126,527,750,797,145,434,697,761,53,0.076
Outpatient Surgical Procedures,Arthrocentesis,0,Providence St Vincent Med Ctr,21,561,710,901,29,697,784,820,-74,-0.094
Outpatient Surgical Procedures,Arthrocentesis,0,Salem Health Salem Hosp,12,590,817,1029,15,513,559,781,258,0.462
Outpatient Surgical Procedures,Arthrocentesis,0,Santiam Hosp,11,174,690,1705,16,127,438,485,252,0.575
Outpatient Surgical Procedures,Arthrocentesis,0,Sky Lakes Med Ctr,14,676,888,999,19,471,771,938,117,0.152
Outpatient Surgical Procedures,Arthrocentesis,0,St Anthony Hospital,11,1105,1227,1427,,,,,,
Outpatient Surgical Procedures,Arthrocentesis,0,St Charles Med Ctr-Bend,12,80,395,2094,11,833,2012,5780,-1617,-0.804
Outpatient Surgical Procedures,Arthrocentesis,0,Tuality Comm Hosp,19,565,680,954,27,680,819,1334,-139,-0.17
Outpatient Surgical Procedures,Arthrocentesis,0,Willamette Valley Med Ctr,16,611,727,822,13,680,680,1092,47,0.069
Outpatient Surgical Procedures,Arthrography,1,Statewide,864,1660,2150,2604,987,1313,2127,2350,23,0.011
Outpatient Surgical Procedures,Arthrography,0,Adventist Med Ctr,12,1088,1314,1600,15,564,1644,2350,-330,-0.201
Outpatient Surgical Procedures,Arthrography,0,Asante Three Rivers Med Ctr,14,949,2254,2604,18,1733,2480,3286,-226,-0.091
Outpatient Surgical Procedures,Arthrography,0,Good Shepherd Med Ctr,20,4370,4805,5330,23,4213,4482,4602,323,0.072
Outpatient Surgical Procedures,Arthrography,0,Grande Ronde Hosp,16,2772,3036,3328,22,2577,2683,2881,353,0.132
Outpatient Surgical Procedures,Arthrography,0,Kaiser Sunnyside Med Ctr,148,2151,2373,2590,184,2009,2130,2327,243,0.114
Outpatient Surgical Procedures,Arthrography,0,Kaiser Westside Med Ctr,46,2183,2327,2460,113,684,2130,2184,197,0.092
Outpatient Surgical Procedures,Arthrography,0,Legacy Emanuel Med Ctr,21,1907,1907,1963,10,1880,2426,2731,-519,-0.214
Outpatient Surgical Procedures,Arthrography,0,Legacy Good Samaritan Med Ctr,10,393,442,679,21,677,1135,1524,-693,-0.611
Outpatient Surgical Procedures,Arthrography,0,Legacy Meridian Park Med Ctr,23,1748,1939,2051,,,,,,
Outpatient Surgical Procedures,Arthrography,0,Legacy Silverton Med Ctr,19,994,1328,1442,,,,,,
Outpatient Surgical Procedures,Arthrography,0,Mid-Columbia Med Ctr,17,2297,2917,4101,15,2432,3552,3955,-635,-0.179
Outpatient Surgical Procedures,Arthrography,0,OHSU Hosp,91,2337,2833,3357,75,2136,2536,3198,297,0.117
Outpatient Surgical Procedures,Arthrography,0,Providence Hood River Mem Hosp,19,2141,2352,2745,19,2363,2685,2895,-333,-0.124
Outpatient Surgical Procedures,Arthrography,0,Providence Medford Med Ctr,19,490,909,1410,22,504,965,1061,-56,-0.058
Outpatient Surgical Procedures,Arthrography,0,Providence Milwaukie Hosp,22,2019,2137,2188,22,1411,2029,2133,108,0.053
Outpatient Surgical Procedures,Arthrography,0,Providence Newberg Med Ctr,41,2111,2114,2131,41,1710,2121,2125,-7,-0.003
Outpatient Surgical Procedures,Arthrography,0,Providence Portland Med Ctr,103,896,2019,2138,123,948,1738,2126,281,0.162
Outpatient Surgical Procedures,Arthrography,0,Providence Seaside Hosp,14,1018,1090,2734,15,979,2458,2644,-1368,-0.557
Outpatient Surgical Procedures,Arthrography,0,Providence St Vincent Med Ctr,19,894,2019,2123,23,948,1855,2140,164,0.088
Outpatient Surgical Procedures,Arthrography,0,Salem Health Salem Hosp,40,1816,1851,2727,31,1127,1212,1996,639,0.527
Outpatient Surgical Procedures,Arthrography,0,St Alphonsus Med Ctr-Ontario,16,2806,2916,3023,15,2658,2806,2831,110,0.039
Outpatient Surgical Procedures,Arthrography,0,St Anthony Hospital,19,4896,4988,5194,19,3918,4879,4944,109,0.022
Outpatient Surgical Procedures,Arthrography,0,Tuality Comm Hosp,39,742,1697,2631,49,731,1361,1901,336,0.247
Outpatient Surgical Procedures,Arthrography,0,Willamette Valley Med Ctr,38,1657,2026,2184,39,1653,1933,2507,93,0.048
Outpatient Surgical Procedures,Big toe surgery,1,Statewide,783,5725,9254,15288,877,5350,9458,14696,-204,-0.022
Outpatient Surgical Procedures,Big toe surgery,0,Adventist Med Ctr,14,5888,10826,10826,16,6217,8920,10310,1906,0.214
Outpatient Surgical Procedures,Big toe surgery,0,Columbia Mem Hosp,20,15389,15389,29560,16,14323,24626,31811,-9237,-0.375
Outpatient Surgical Procedures,Big toe surgery,0,Good Samaritan Regional Med Ctr,26,9716,11520,16923,48,3630,12885,22457,-1365,-0.106
Outpatient Surgical Procedures,Big toe surgery,0,Kaiser Sunnyside Med Ctr,20,17512,21544,25549,24,20412,23240,26573,-1696,-0.073
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Emanuel Med Ctr,14,6599,10084,12433,26,5962,8383,9959,1701,0.203
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Good Samaritan Med Ctr,29,9870,14041,15757,22,4581,8720,13089,5321,0.61
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Meridian Park Med Ctr,27,10377,12574,16992,18,7751,11103,14696,1471,0.132
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Mount Hood Med Ctr,27,8123,11648,17217,34,7542,12820,15073,-1172,-0.091
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Silverton Med Ctr,10,10545,13866,14631,,,,,,
Outpatient Surgical Procedures,Big toe surgery,0,McKenzie-Willamette Med Ctr,35,2930,16941,27539,37,9458,9458,20701,7483,0.791
Outpatient Surgical Procedures,Big toe surgery,0,Mercy Med Ctr,41,7082,11540,22301,33,8696,12088,12648,-548,-0.045
Outpatient Surgical Procedures,Big toe surgery,0,Mid-Columbia Med Ctr,10,6773,14152,18276,,,,,,
Outpatient Surgical Procedures,Big toe surgery,0,OHSU Hosp,40,6459,8626,13906,40,7393,10753,16005,-2127,-0.198
Outpatient Surgical Procedures,Big toe surgery,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,18,10478,13356,17763,15,10019,23613,32577,-10257,-0.434
Outpatient Surgical Procedures,Big toe surgery,0,Providence Milwaukie Hosp,57,7440,8052,9607,67,5350,7561,9822,491,0.065
Outpatient Surgical Procedures,Big toe surgery,0,Providence Newberg Med Ctr,23,2086,6866,8970,36,6568,10132,13381,-3266,-0.322
Outpatient Surgical Procedures,Big toe surgery,0,Providence Portland Med Ctr,136,5698,5725,9060,96,4313,5350,9286,375,0.07
Outpatient Surgical Procedures,Big toe surgery,0,Providence St Vincent Med Ctr,60,3571,5698,5725,101,5236,5350,7253,348,0.065
Outpatient Surgical Procedures,Big toe surgery,0,Salem Health Salem Hosp,31,6368,10577,21570,27,5840,9469,11634,1108,0.117
Outpatient Surgical Procedures,Big toe surgery,0,Samaritan Albany Gen Hosp,17,5874,9243,10997,,,,,,
Outpatient Surgical Procedures,Big toe surgery,0,Santiam Hosp,14,7129,8657,10711,19,6958,9409,15720,-752,-0.08
Outpatient Surgical Procedures,Big toe surgery,0,Tuality Comm Hosp,12,3334,7188,14719,23,6496,9531,11109,-2343,-0.246
Outpatient Surgical Procedures,Big toe surgery,0,Willamette Valley Med Ctr,16,8308,16378,26460,19,5184,13521,15367,2857,0.211
Outpatient Surgical Procedures,Breast biopsy,1,Statewide,2336,2872,3446,4708,2247,2610,3463,4804,-17,-0.005
Outpatient Surgical Procedures,Breast biopsy,0,Adventist Med Ctr,31,2603,3232,3714,36,2610,3331,3897,-99,-0.03
Outpatient Surgical Procedures,Breast biopsy,0,Asante Ashland Comm Hosp,13,2382,2833,3550,12,2889,4134,5695,-1301,-0.315
Outpatient Surgical Procedures,Breast biopsy,0,Asante Rogue Valley Med Ctr,123,3254,4139,5443,93,3481,4556,4571,-417,-0.092
Outpatient Surgical Procedures,Breast biopsy,0,Asante Three Rivers Med Ctr,36,3269,3857,5063,55,3237,4519,5730,-662,-0.146
Outpatient Surgical Procedures,Breast biopsy,0,Grande Ronde Hosp,24,2492,2755,3824,26,2475,3622,3742,-867,-0.239
Outpatient Surgical Procedures,Breast biopsy,0,Kaiser Sunnyside Med Ctr,274,2964,3127,3901,199,2158,2960,3056,167,0.056
Outpatient Surgical Procedures,Breast biopsy,0,Kaiser Westside Med Ctr,170,2964,3127,4118,172,2158,2960,3649,167,0.056
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Good Samaritan Med Ctr,203,2702,3670,4688,174,2441,3459,4804,211,0.061
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Meridian Park Med Ctr,56,2478,3058,4140,65,2682,3468,4252,-410,-0.118
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Mount Hood Med Ctr,25,2456,4140,6682,32,2513,4081,5497,59,0.014
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Silverton Med Ctr,32,1946,2280,3564,32,2030,2194,3357,86,0.039
Outpatient Surgical Procedures,Breast biopsy,0,Mercy Med Ctr,39,3624,4023,4700,56,3176,3690,4368,333,0.09
Outpatient Surgical Procedures,Breast biopsy,0,Mid-Columbia Med Ctr,22,2491,3539,4427,14,1304,2232,2957,1307,0.586
Outpatient Surgical Procedures,Breast biopsy,0,OHSU Hosp,149,2852,3202,4373,120,2915,3838,4891,-636,-0.166
Outpatient Surgical Procedures,Breast biopsy,0,Providence Hood River Mem Hosp,24,3289,4049,6708,17,3766,4161,5003,-112,-0.027
Outpatient Surgical Procedures,Breast biopsy,0,Providence Medford Med Ctr,69,1692,2867,4064,50,2724,3680,5893,-813,-0.221
Outpatient Surgical Procedures,Breast biopsy,0,Providence Milwaukie Hosp,64,3022,4020,4712,96,2885,3429,4724,591,0.172
Outpatient Surgical Procedures,Breast biopsy,0,Providence Newberg Med Ctr,50,3330,4949,7708,20,3604,4744,8155,205,0.043
Outpatient Surgical Procedures,Breast biopsy,0,Providence Portland Med Ctr,314,2904,3607,4537,310,2706,3610,4923,-3,-0.001
Outpatient Surgical Procedures,Breast biopsy,0,Providence St Vincent Med Ctr,372,3096,4045,5725,432,2848,3741,5350,304,0.081
Outpatient Surgical Procedures,Breast biopsy,0,Providence Willamette Falls Med Ctr,18,3923,4124,4741,10,4262,4389,4431,-265,-0.06
Outpatient Surgical Procedures,Breast biopsy,0,Salem Health Salem Hosp,59,1976,3516,3885,74,1861,2921,3788,595,0.204
Outpatient Surgical Procedures,Breast biopsy,0,Sky Lakes Med Ctr,28,4667,5252,6610,24,5269,5713,6463,-461,-0.081
