Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Outpatient Surgical Procedures,Appendectomy,0,Legacy Meridian Park Med Ctr,14,11983,14863,16344
Outpatient Surgical Procedures,Appendectomy,0,OHSU Hosp,11,10197,12766,13388
Outpatient Surgical Procedures,Appendectomy,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,38,12034,15421,16754
Outpatient Surgical Procedures,Appendectomy,0,Providence Portland Med Ctr,11,7370,11336,15216
Outpatient Surgical Procedures,Appendectomy,0,Providence St Vincent Med Ctr,21,5809,9669,13030
Outpatient Surgical Procedures,Appendectomy,0,Salem Health Salem Hosp,22,4924,4930,14399
Outpatient Surgical Procedures,Appendectomy,0,St Charles Med Ctr-Bend,18,8910,11217,13929
Outpatient Surgical Procedures,Arthrocentesis,1,Statewide,1121,579,718,1427
Outpatient Surgical Procedures,Arthrocentesis,0,Adventist Med Ctr,19,472,1194,1837
Outpatient Surgical Procedures,Arthrocentesis,0,Adventist Tillamook Reg Med Ctr,14,313,316,415
Outpatient Surgical Procedures,Arthrocentesis,0,Asante Rogue Valley Med Ctr,25,751,967,1004
Outpatient Surgical Procedures,Arthrocentesis,0,Asante Three Rivers Med Ctr,28,827,927,1097
Outpatient Surgical Procedures,Arthrocentesis,0,Kaiser Sunnyside Med Ctr,161,579,625,2302
Outpatient Surgical Procedures,Arthrocentesis,0,Kaiser Westside Med Ctr,237,582,626,1162
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Emanuel Med Ctr,37,3420,4852,5297
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Good Samaritan Med Ctr,80,555,809,1815
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Meridian Park Med Ctr,33,680,1482,2234
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Mount Hood Med Ctr,28,746,1797,2714
Outpatient Surgical Procedures,Arthrocentesis,0,Legacy Silverton Med Ctr,47,242,411,495
Outpatient Surgical Procedures,Arthrocentesis,0,Mercy Med Ctr,10,1303,2461,3848
Outpatient Surgical Procedures,Arthrocentesis,0,OHSU Hosp,54,572,717,743
Outpatient Surgical Procedures,Arthrocentesis,0,Providence Milwaukie Hosp,26,602,792,1912
Outpatient Surgical Procedures,Arthrocentesis,0,Providence Portland Med Ctr,126,527,750,797
Outpatient Surgical Procedures,Arthrocentesis,0,Providence St Vincent Med Ctr,21,561,710,901
Outpatient Surgical Procedures,Arthrocentesis,0,Salem Health Salem Hosp,12,590,817,1029
Outpatient Surgical Procedures,Arthrocentesis,0,Santiam Hosp,11,174,690,1705
Outpatient Surgical Procedures,Arthrocentesis,0,Sky Lakes Med Ctr,14,676,888,999
Outpatient Surgical Procedures,Arthrocentesis,0,St Anthony Hospital,11,1105,1227,1427
Outpatient Surgical Procedures,Arthrocentesis,0,St Charles Med Ctr-Bend,12,80,395,2094
Outpatient Surgical Procedures,Arthrocentesis,0,Tuality Comm Hosp,19,565,680,954
Outpatient Surgical Procedures,Arthrocentesis,0,Willamette Valley Med Ctr,16,611,727,822
Outpatient Surgical Procedures,Arthrography,1,Statewide,864,1660,2150,2604
Outpatient Surgical Procedures,Arthrography,0,Adventist Med Ctr,12,1088,1314,1600
Outpatient Surgical Procedures,Arthrography,0,Asante Three Rivers Med Ctr,14,949,2254,2604
Outpatient Surgical Procedures,Arthrography,0,Good Shepherd Med Ctr,20,4370,4805,5330
Outpatient Surgical Procedures,Arthrography,0,Grande Ronde Hosp,16,2772,3036,3328
Outpatient Surgical Procedures,Arthrography,0,Kaiser Sunnyside Med Ctr,148,2151,2373,2590
Outpatient Surgical Procedures,Arthrography,0,Kaiser Westside Med Ctr,46,2183,2327,2460
Outpatient Surgical Procedures,Arthrography,0,Legacy Emanuel Med Ctr,21,1907,1907,1963
Outpatient Surgical Procedures,Arthrography,0,Legacy Good Samaritan Med Ctr,10,393,442,679
Outpatient Surgical Procedures,Arthrography,0,Legacy Meridian Park Med Ctr,23,1748,1939,2051
Outpatient Surgical Procedures,Arthrography,0,Legacy Silverton Med Ctr,19,994,1328,1442
Outpatient Surgical Procedures,Arthrography,0,Mid-Columbia Med Ctr,17,2297,2917,4101
Outpatient Surgical Procedures,Arthrography,0,OHSU Hosp,91,2337,2833,3357
Outpatient Surgical Procedures,Arthrography,0,Providence Hood River Mem Hosp,19,2141,2352,2745
Outpatient Surgical Procedures,Arthrography,0,Providence Medford Med Ctr,19,490,909,1410
Outpatient Surgical Procedures,Arthrography,0,Providence Milwaukie Hosp,22,2019,2137,2188
Outpatient Surgical Procedures,Arthrography,0,Providence Newberg Med Ctr,41,2111,2114,2131
Outpatient Surgical Procedures,Arthrography,0,Providence Portland Med Ctr,103,896,2019,2138
Outpatient Surgical Procedures,Arthrography,0,Providence Seaside Hosp,14,1018,1090,2734
Outpatient Surgical Procedures,Arthrography,0,Providence St Vincent Med Ctr,19,894,2019,2123
Outpatient Surgical Procedures,Arthrography,0,Salem Health Salem Hosp,40,1816,1851,2727
Outpatient Surgical Procedures,Arthrography,0,St Alphonsus Med Ctr-Ontario,16,2806,2916,3023
Outpatient Surgical Procedures,Arthrography,0,St Anthony Hospital,19,4896,4988,5194
Outpatient Surgical Procedures,Arthrography,0,Tuality Comm Hosp,39,742,1697,2631
Outpatient Surgical Procedures,Arthrography,0,Willamette Valley Med Ctr,38,1657,2026,2184
Outpatient Surgical Procedures,Big toe surgery,1,Statewide,783,5725,9254,15288
Outpatient Surgical Procedures,Big toe surgery,0,Adventist Med Ctr,14,5888,10826,10826
Outpatient Surgical Procedures,Big toe surgery,0,Columbia Mem Hosp,20,15389,15389,29560
Outpatient Surgical Procedures,Big toe surgery,0,Good Samaritan Regional Med Ctr,26,9716,11520,16923
Outpatient Surgical Procedures,Big toe surgery,0,Kaiser Sunnyside Med Ctr,20,17512,21544,25549
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Emanuel Med Ctr,14,6599,10084,12433
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Good Samaritan Med Ctr,29,9870,14041,15757
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Meridian Park Med Ctr,27,10377,12574,16992
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Mount Hood Med Ctr,27,8123,11648,17217
Outpatient Surgical Procedures,Big toe surgery,0,Legacy Silverton Med Ctr,10,10545,13866,14631
Outpatient Surgical Procedures,Big toe surgery,0,McKenzie-Willamette Med Ctr,35,2930,16941,27539
Outpatient Surgical Procedures,Big toe surgery,0,Mercy Med Ctr,41,7082,11540,22301
Outpatient Surgical Procedures,Big toe surgery,0,Mid-Columbia Med Ctr,10,6773,14152,18276
Outpatient Surgical Procedures,Big toe surgery,0,OHSU Hosp,40,6459,8626,13906
Outpatient Surgical Procedures,Big toe surgery,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,18,10478,13356,17763
Outpatient Surgical Procedures,Big toe surgery,0,Providence Milwaukie Hosp,57,7440,8052,9607
Outpatient Surgical Procedures,Big toe surgery,0,Providence Newberg Med Ctr,23,2086,6866,8970
Outpatient Surgical Procedures,Big toe surgery,0,Providence Portland Med Ctr,136,5698,5725,9060
Outpatient Surgical Procedures,Big toe surgery,0,Providence St Vincent Med Ctr,60,3571,5698,5725
Outpatient Surgical Procedures,Big toe surgery,0,Salem Health Salem Hosp,31,6368,10577,21570
Outpatient Surgical Procedures,Big toe surgery,0,Samaritan Albany Gen Hosp,17,5874,9243,10997
Outpatient Surgical Procedures,Big toe surgery,0,Santiam Hosp,14,7129,8657,10711
Outpatient Surgical Procedures,Big toe surgery,0,Tuality Comm Hosp,12,3334,7188,14719
Outpatient Surgical Procedures,Big toe surgery,0,Willamette Valley Med Ctr,16,8308,16378,26460
Outpatient Surgical Procedures,Breast biopsy,1,Statewide,2336,2872,3446,4708
Outpatient Surgical Procedures,Breast biopsy,0,Adventist Med Ctr,31,2603,3232,3714
Outpatient Surgical Procedures,Breast biopsy,0,Asante Ashland Comm Hosp,13,2382,2833,3550
Outpatient Surgical Procedures,Breast biopsy,0,Asante Rogue Valley Med Ctr,123,3254,4139,5443
Outpatient Surgical Procedures,Breast biopsy,0,Asante Three Rivers Med Ctr,36,3269,3857,5063
Outpatient Surgical Procedures,Breast biopsy,0,Grande Ronde Hosp,24,2492,2755,3824
Outpatient Surgical Procedures,Breast biopsy,0,Kaiser Sunnyside Med Ctr,274,2964,3127,3901
Outpatient Surgical Procedures,Breast biopsy,0,Kaiser Westside Med Ctr,170,2964,3127,4118
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Good Samaritan Med Ctr,203,2702,3670,4688
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Meridian Park Med Ctr,56,2478,3058,4140
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Mount Hood Med Ctr,25,2456,4140,6682
Outpatient Surgical Procedures,Breast biopsy,0,Legacy Silverton Med Ctr,32,1946,2280,3564
Outpatient Surgical Procedures,Breast biopsy,0,Mercy Med Ctr,39,3624,4023,4700
Outpatient Surgical Procedures,Breast biopsy,0,Mid-Columbia Med Ctr,22,2491,3539,4427
Outpatient Surgical Procedures,Breast biopsy,0,OHSU Hosp,149,2852,3202,4373
Outpatient Surgical Procedures,Breast biopsy,0,Providence Hood River Mem Hosp,24,3289,4049,6708
Outpatient Surgical Procedures,Breast biopsy,0,Providence Medford Med Ctr,69,1692,2867,4064
Outpatient Surgical Procedures,Breast biopsy,0,Providence Milwaukie Hosp,64,3022,4020,4712
Outpatient Surgical Procedures,Breast biopsy,0,Providence Newberg Med Ctr,50,3330,4949,7708
Outpatient Surgical Procedures,Breast biopsy,0,Providence Portland Med Ctr,314,2904,3607,4537
Outpatient Surgical Procedures,Breast biopsy,0,Providence St Vincent Med Ctr,372,3096,4045,5725
Outpatient Surgical Procedures,Breast biopsy,0,Providence Willamette Falls Med Ctr,18,3923,4124,4741
Outpatient Surgical Procedures,Breast biopsy,0,Salem Health Salem Hosp,59,1976,3516,3885
Outpatient Surgical Procedures,Breast biopsy,0,Sky Lakes Med Ctr,28,4667,5252,6610
Outpatient Surgical Procedures,Breast biopsy,0,St Anthony Hospital,25,2226,2361,4240
Outpatient Surgical Procedures,Breast biopsy,0,Tuality Comm Hosp,23,1073,2277,3112
Outpatient Surgical Procedures,Breast biopsy,0,Willamette Valley Med Ctr,24,2599,2959,3792
Outpatient Surgical Procedures,Breast reconstruction,1,Statewide,798,8052,15048,22438
Outpatient Surgical Procedures,Breast reconstruction,0,Adventist Med Ctr,13,10826,12888,15483
Outpatient Surgical Procedures,Breast reconstruction,0,Asante Ashland Comm Hosp,14,19086,28179,40662
Outpatient Surgical Procedures,Breast reconstruction,0,Asante Rogue Valley Med Ctr,27,19955,24492,46749
Outpatient Surgical Procedures,Breast reconstruction,0,Good Samaritan Regional Med Ctr,20,16202,19402,25654
Outpatient Surgical Procedures,Breast reconstruction,0,Kaiser Sunnyside Med Ctr,38,16895,21597,28286
Outpatient Surgical Procedures,Breast reconstruction,0,Legacy Good Samaritan Med Ctr,93,14777,18198,25011
Outpatient Surgical Procedures,Breast reconstruction,0,Legacy Meridian Park Med Ctr,34,14468,17001,30762
Outpatient Surgical Procedures,Breast reconstruction,0,Legacy Mount Hood Med Ctr,14,13319,14592,22438
Outpatient Surgical Procedures,Breast reconstruction,0,OHSU Hosp,129,13308,16155,19895
Outpatient Surgical Procedures,Breast reconstruction,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,14,26685,32688,42508
Outpatient Surgical Procedures,Breast reconstruction,0,Providence Milwaukie Hosp,20,5695,6802,11945
Outpatient Surgical Procedures,Breast reconstruction,0,Providence Portland Med Ctr,74,2350,6163,8052
Outpatient Surgical Procedures,Breast reconstruction,0,Providence St Vincent Med Ctr,146,6163,8052,15997
Outpatient Surgical Procedures,Breast reconstruction,0,Salem Health Salem Hosp,77,6421,12493,26401
Outpatient Surgical Procedures,Breast reconstruction,0,Samaritan Albany Gen Hosp,12,17199,19286,24334
Outpatient Surgical Procedures,Breast reconstruction,0,St Charles Med Ctr-Bend,28,13201,17195,26886
Outpatient Surgical Procedures,Carpal tunnel,1,Statewide,635,3667,4751,6052
Outpatient Surgical Procedures,Carpal tunnel,0,Adventist Med Ctr,20,3356,4554,4988
Outpatient Surgical Procedures,Carpal tunnel,0,Asante Three Rivers Med Ctr,25,4600,4968,5594
Outpatient Surgical Procedures,Carpal tunnel,0,Good Samaritan Regional Med Ctr,31,4285,5078,6228
Outpatient Surgical Procedures,Carpal tunnel,0,Good Shepherd Med Ctr,10,4003,4578,5406
Outpatient Surgical Procedures,Carpal tunnel,0,Grande Ronde Hosp,19,3697,4805,7728
Outpatient Surgical Procedures,Carpal tunnel,0,Legacy Meridian Park Med Ctr,13,5283,5776,6486
Outpatient Surgical Procedures,Carpal tunnel,0,Legacy Mount Hood Med Ctr,20,4873,4946,6049
Outpatient Surgical Procedures,Carpal tunnel,0,Mercy Med Ctr,37,4347,5002,6673
Outpatient Surgical Procedures,Carpal tunnel,0,Mid-Columbia Med Ctr,11,2625,4028,5664
Outpatient Surgical Procedures,Carpal tunnel,0,OHSU Hosp,67,4043,4875,6949
Outpatient Surgical Procedures,Carpal tunnel,0,Providence Hood River Mem Hosp,15,5517,6266,6846
Outpatient Surgical Procedures,Carpal tunnel,0,Providence Milwaukie Hosp,27,4246,4593,4806
Outpatient Surgical Procedures,Carpal tunnel,0,Providence Newberg Med Ctr,26,3854,5678,6056
Outpatient Surgical Procedures,Carpal tunnel,0,Providence Portland Med Ctr,106,3469,4593,5239
Outpatient Surgical Procedures,Carpal tunnel,0,Providence St Vincent Med Ctr,29,1475,4246,4824
Outpatient Surgical Procedures,Carpal tunnel,0,Salem Health Salem Hosp,16,2288,3494,8300
Outpatient Surgical Procedures,Carpal tunnel,0,Sky Lakes Med Ctr,41,3478,3478,3990
Outpatient Surgical Procedures,Carpal tunnel,0,St Charles Med Ctr-Bend,10,4395,5274,7390
Outpatient Surgical Procedures,Carpal tunnel,0,Tuality Comm Hosp,24,3718,4165,5290
Outpatient Surgical Procedures,Cataract,1,Statewide,869,4207,5345,6773
Outpatient Surgical Procedures,Cataract,0,Adventist Med Ctr,16,3689,3709,4207
Outpatient Surgical Procedures,Cataract,0,Columbia Mem Hosp,25,6470,7058,7617
Outpatient Surgical Procedures,Cataract,0,Grande Ronde Hosp,19,5615,6657,8860
Outpatient Surgical Procedures,Cataract,0,Legacy Good Samaritan Med Ctr,131,5274,5731,6276
Outpatient Surgical Procedures,Cataract,0,Mercy Med Ctr,12,4321,4823,5070
Outpatient Surgical Procedures,Cataract,0,OHSU Hosp,179,3909,5002,5628
Outpatient Surgical Procedures,Cataract,0,Providence Milwaukie Hosp,91,4138,6773,6805
Outpatient Surgical Procedures,Cataract,0,Providence Newberg Med Ctr,12,8429,8828,9027
Outpatient Surgical Procedures,Cataract,0,Providence Portland Med Ctr,19,1950,5608,6261
Outpatient Surgical Procedures,Cataract,0,Providence St Vincent Med Ctr,112,4115,5905,6773
Outpatient Surgical Procedures,Cataract,0,Samaritan Lebanon Comm Hosp,14,3910,4512,5266
Outpatient Surgical Procedures,Cataract,0,Santiam Hosp,17,1204,4759,4768
Outpatient Surgical Procedures,Cataract,0,St Alphonsus Med Ctr-Baker City,12,5628,6098,6516
Outpatient Surgical Procedures,Cataract,0,St Charles Med Ctr-Bend,30,5106,6085,6803
Outpatient Surgical Procedures,Cataract,0,Tuality Comm Hosp,70,4414,4870,5095
Outpatient Surgical Procedures,Cataract,0,Willamette Valley Med Ctr,49,4669,5582,6358
Outpatient Surgical Procedures,Catheterization,1,Statewide,1252,5909,8639,12595
Outpatient Surgical Procedures,Catheterization,0,Asante Rogue Valley Med Ctr,72,9204,11013,11550
Outpatient Surgical Procedures,Catheterization,0,Good Samaritan Regional Med Ctr,29,7809,8347,11173
Outpatient Surgical Procedures,Catheterization,0,Kaiser Sunnyside Med Ctr,184,5696,5933,10188
Outpatient Surgical Procedures,Catheterization,0,Legacy Emanuel Med Ctr,46,8860,16338,25227
Outpatient Surgical Procedures,Catheterization,0,Legacy Good Samaritan Med Ctr,69,8540,10019,16031
Outpatient Surgical Procedures,Catheterization,0,Legacy Meridian Park Med Ctr,34,7413,8640,9568
Outpatient Surgical Procedures,Catheterization,0,Legacy Mount Hood Med Ctr,16,8640,9524,10925
Outpatient Surgical Procedures,Catheterization,0,McKenzie-Willamette Med Ctr,26,8335,16037,19627
Outpatient Surgical Procedures,Catheterization,0,Mercy Med Ctr,26,11133,13645,15920
Outpatient Surgical Procedures,Catheterization,0,OHSU Hosp,153,7194,8433,11449
Outpatient Surgical Procedures,Catheterization,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,77,8297,10502,14996
Outpatient Surgical Procedures,Catheterization,0,Providence Medford Med Ctr,14,3150,7406,9132
Outpatient Surgical Procedures,Catheterization,0,Providence Portland Med Ctr,95,4351,5667,10953
Outpatient Surgical Procedures,Catheterization,0,Providence St Vincent Med Ctr,196,4578,5855,9153
Outpatient Surgical Procedures,Catheterization,0,Salem Health Salem Hosp,91,7493,8320,10631
Outpatient Surgical Procedures,Catheterization,0,Sky Lakes Med Ctr,32,14101,14965,18140
Outpatient Surgical Procedures,Catheterization,0,St Charles Med Ctr-Bend,44,9248,10152,14264
Outpatient Surgical Procedures,Catheterization,0,Tuality Comm Hosp,16,6925,7829,9622
Outpatient Surgical Procedures,Colonoscopy,1,Statewide,15103,1833,2837,3975
Outpatient Surgical Procedures,Colonoscopy,0,Adventist Med Ctr,412,2710,3683,4376
Outpatient Surgical Procedures,Colonoscopy,0,Adventist Tillamook Reg Med Ctr,80,4021,5717,7424
Outpatient Surgical Procedures,Colonoscopy,0,Asante Ashland Comm Hosp,120,2796,3115,3613
Outpatient Surgical Procedures,Colonoscopy,0,Asante Rogue Valley Med Ctr,272,2784,3066,3781
Outpatient Surgical Procedures,Colonoscopy,0,Asante Three Rivers Med Ctr,414,2563,2872,3453
Outpatient Surgical Procedures,Colonoscopy,0,Blue Mountain Hosp,30,4108,4599,5729
Outpatient Surgical Procedures,Colonoscopy,0,Columbia Mem Hosp,179,3109,3587,4891
Outpatient Surgical Procedures,Colonoscopy,0,Coquille Valley Hosp,34,3531,3999,4813
Outpatient Surgical Procedures,Colonoscopy,0,Curry Gen Hosp,100,1266,1472,2482
Outpatient Surgical Procedures,Colonoscopy,0,Good Samaritan Regional Med Ctr,47,3508,4171,5541
Outpatient Surgical Procedures,Colonoscopy,0,Good Shepherd Med Ctr,103,2225,2698,3304
Outpatient Surgical Procedures,Colonoscopy,0,Grande Ronde Hosp,194,1106,1365,1833
Outpatient Surgical Procedures,Colonoscopy,0,Harney District Hosp,35,2079,2290,4194
Outpatient Surgical Procedures,Colonoscopy,0,Kaiser Sunnyside Med Ctr,96,1577,1985,2493
Outpatient Surgical Procedures,Colonoscopy,0,Kaiser Westside Med Ctr,2097,1464,1570,1975
Outpatient Surgical Procedures,Colonoscopy,0,Lake District Hosp,23,3209,3479,3955
Outpatient Surgical Procedures,Colonoscopy,0,Legacy Emanuel Med Ctr,97,3601,4780,5495
Outpatient Surgical Procedures,Colonoscopy,0,Legacy Good Samaritan Med Ctr,181,2336,3008,4058
Outpatient Surgical Procedures,Colonoscopy,0,Legacy Meridian Park Med Ctr,220,2180,2649,3369
Outpatient Surgical Procedures,Colonoscopy,0,Legacy Mount Hood Med Ctr,353,2252,2876,3373
Outpatient Surgical Procedures,Colonoscopy,0,Legacy Silverton Med Ctr,407,3776,4274,5068
Outpatient Surgical Procedures,Colonoscopy,0,Lower Umpqua Hosp,14,3453,6196,6804
